links,name,company,location,position,salary,level
https://www.seek.com.au/job/79872892?type=standard&ref=search-standalone,Automation Engineer,N/A,"Acacia Ridge, Brisbane QLD",Electrical/Electronic Engineering (Engineering),Add expected salary to your profile for insights,Full time
https://www.seek.com.au/job/80295794?type=standard&ref=search-standalone,Quality Assurance Automation Engineer,BGL Corporate Solutions Pty Ltd ,"Canterbury, Melbourne VIC",Testing & Quality Assurance (Information & Communication Technology),"From $90,000 Package",Full time
https://www.seek.com.au/job/80014946?type=standout&ref=search-standalone,Control Systems Engineer / Automation Engineer,SAFEgroup Automation ,"Parramatta, Sydney NSW",Electrical/Electronic Engineering (Engineering),Add expected salary to your profile for insights,Full time
https://www.seek.com.au/job/80284200?type=standard&ref=search-standalone,Controls Systems Engineer,Downer EDI Limited ,"Dandenong South, Melbourne VIC",Electrical/Electronic Engineering (Engineering),Superior remuneration & wfh flex,Full time
https://www.seek.com.au/job/80258137?type=standout&ref=search-standalone,Control Systems Engineer,LGI Ltd ,"Eagle Farm, Brisbane QLD",Electrical/Electronic Engineering (Engineering),Add expected salary to your profile for insights,Full time
https://www.seek.com.au/job/79943393?type=standard&ref=search-standalone,PLC Programmer/Automation Engineer,Beston Global Food Company ,"Jervois, Riverland & Murray Mallee SA",Electrical/Electronic Engineering (Engineering),Add expected salary to your profile for insights,Full time
https://www.seek.com.au/job/80168570?type=standout&ref=search-standalone,Control Systems Engineer,NewyTechPeople ,"Wollongong, Wollongong, Illawarra & South Coast NSW",Electrical/Electronic Engineering (Engineering),Competitive salary + Paid Overtime,Full time
https://www.seek.com.au/job/80209626?type=standout&ref=search-standalone,Automation Design Engineering Officer,Energy Queensland Group ,Brisbane QLD,Electrical/Electronic Engineering (Engineering)Government - State (Government & Defence),$152K - $172K + 9 or 10 day f/night + 14.75% Super,Full time
https://www.seek.com.au/job/80085768?type=standard&ref=search-standalone,Automation Engineer,CSG Talent ,"Bathurst, Blue Mountains & Central West NSW",Industrial Engineering (Engineering),Add expected salary to your profile for insights,Full time
https://www.seek.com.au/job/80257586?type=standout&ref=search-standalone,Automation & Software Engineer- Narrabri,Whitehaven Coal Limited ,"Newcastle, Newcastle, Maitland & Hunter NSW","Mining - Engineering & Maintenance (Mining, Resources & Energy)",Generous salary + bonus,Full time
https://www.seek.com.au/job/80247725?type=standout&ref=search-standalone,Control System Engineer,NES Fircroft ,Perth WA,Electrical/Electronic Engineering (Engineering),Add expected salary to your profile for insights,Contract/Temp
https://www.seek.com.au/job/80093432?type=standout&ref=search-standalone,Automation LLC Engineer,Alstef Group ,Sydney NSW,Electrical/Electronic Engineering (Engineering),Add expected salary to your profile for insights,Full time
https://www.seek.com.au/job/79908391?type=standout&ref=search-standalone,Graduate Service Engineer,N/A,Perth WA,Electrical/Electronic Engineering (Engineering),"$84k – $85k Total package (base, super, car)",Full time
https://www.seek.com.au/job/80042493?type=standout&ref=search-standalone,Automation Engineer,Technical Recruitment Solutions ,"Eight Mile Plains, Brisbane QLD",Electrical/Electronic Engineering (Engineering),Add expected salary to your profile for insights,Full time
https://www.seek.com.au/job/80102646?type=standard&ref=search-standalone,"Control Systems Engineer - All Levels, All Systems",SPIE Global Services Energy Pty Ltd ,Perth WA,Systems Engineering (Engineering),Add expected salary to your profile for insights,Full time
https://www.seek.com.au/job/80014901?type=standout&ref=search-standalone,Control Systems Engineer / Automation Engineer,SAFEgroup Automation ,"Milton, Brisbane QLD",Electrical/Electronic Engineering (Engineering),Add expected salary to your profile for insights,Full time
https://www.seek.com.au/job/80141361?type=promoted&ref=search-standalone,Automated Warehouse Systems Engineer  ,Dematic Pty Ltd ,Melbourne VIC,Systems Engineering (Engineering),"excellent onboarding, career development, travel",Full time
https://www.seek.com.au/job/80167910?type=promoted&ref=search-standalone,Control Systems Engineer,EEHA Automation Pty Ltd ,Brisbane QLD,Electrical/Electronic Engineering (Engineering),Add expected salary to your profile for insights,Full time
https://www.seek.com.au/job/80178008?type=standout&ref=search-standalone,Senior Automation Design Engineer,Caterpillar of Australia ,"Burnie, Devonport & North West TAS",Electrical/Electronic Engineering (Engineering),#NAME?,Full time
https://www.seek.com.au/job/79844403?type=standout&ref=search-standalone,Control Systems Engineer / Automation Engineer,SAFEgroup Automation ,"Gladstone, Gladstone & Central QLD",Electrical/Electronic Engineering (Engineering),Add expected salary to your profile for insights,Full time
https://www.seek.com.au/job/79740154?type=standard&ref=search-standalone,Automation Engineer,CSG Talent ,"Bathurst, Blue Mountains & Central West NSW",Industrial Engineering (Engineering),Add expected salary to your profile for insights,Full time
https://www.seek.com.au/job/80112693?type=standout&ref=search-standalone,SCADA Configuration and Test Engineer L3 - Hybrid WFH,Sydney Water ,"Parramatta, Sydney NSW",Systems Engineering (Engineering),Add expected salary to your profile for insights,Full time
https://www.seek.com.au/job/79844475?type=standout&ref=search-standalone,Control Systems Engineer / Automation Engineer,SAFEgroup Automation ,"Spring Hill, Brisbane QLD",Electrical/Electronic Engineering (Engineering),Add expected salary to your profile for insights,Full time
https://www.seek.com.au/job/80158288?type=standout&ref=search-standalone,Technical Sales Engineer - Industrial Automation,N/A,Adelaide SA,Account & Relationship Management (Sales),"$95,000 – $105,000 p/year + Super + Car + Bonus ",Full time
https://www.seek.com.au/job/80168621?type=standout&ref=search-standalone,Control Systems Engineer,NewyTechPeople ,"Mackay, Mackay & Coalfields QLD",Electrical/Electronic Engineering (Engineering),Competitive salary + Paid Overtime,Full time
https://www.seek.com.au/job/80168652?type=standout&ref=search-standalone,Control Systems Engineer,NewyTechPeople ,"Newcastle, Newcastle, Maitland & Hunter NSW",Electrical/Electronic Engineering (Engineering),Competitive salary + Paid Overtime,Full time
https://www.seek.com.au/job/80257292?type=standard&ref=search-standalone,Controls and Electrical Engineer,N/A,"Wingfield, Adelaide SA",Electrical/Electronic Engineering (Engineering),"$110,000 – $140,000 per year",Full time
https://www.seek.com.au/job/80258137?type=standout&ref=search-standalone,Control Systems Engineer,LGI Ltd ,"Eagle Farm, Brisbane QLD",Electrical/Electronic Engineering (Engineering),Add expected salary to your profile for insights,Full time
https://www.seek.com.au/job/80284200?type=standard&ref=search-standalone,Controls Systems Engineer,Downer EDI Limited ,"Dandenong South, Melbourne VIC",Electrical/Electronic Engineering (Engineering),Superior remuneration & wfh flex,Full time
https://www.seek.com.au/job/79650467?type=standout&ref=search-standalone,Project Engineer - Automation,Schweitzer Engineering Laboratories ,Melbourne VIC,Electrical/Electronic Engineering (Engineering),Add expected salary to your profile for insights,Full time
https://www.seek.com.au/job/79650399?type=standout&ref=search-standalone,Project Engineer - Automation,Schweitzer Engineering Laboratories ,Melbourne VIC,Electrical/Electronic Engineering (Engineering),Add expected salary to your profile for insights,Full time
https://www.seek.com.au/job/79650439?type=standout&ref=search-standalone,Project Engineer - Automation,Schweitzer Engineering Laboratories ,Melbourne VIC,Electrical/Electronic Engineering (Engineering),Add expected salary to your profile for insights,Full time
https://www.seek.com.au/job/80014996?type=standard&ref=search-standalone,Control Systems Engineer,ASR Recruitment ,"Newcastle, Newcastle, Maitland & Hunter NSW",Electrical/Electronic Engineering (Engineering),Add expected salary to your profile for insights,Full time
https://www.seek.com.au/job/80157253?type=standout&ref=search-standalone,Control System Engineer,Wireline Services Group ,"Osborne Park, Perth WA",Systems Engineering (Engineering),Add expected salary to your profile for insights,Full time
https://www.seek.com.au/job/80207295?type=standout&ref=search-standalone,Automation Test Engineer,Lanson Partners ,Sydney NSW,Testing & Quality Assurance (Information & Communication Technology),"$140,000 - $150,000 + Super",Full time
https://www.seek.com.au/job/79844341?type=standout&ref=search-standalone,Senior Control Systems Engineer / Automation Engineer,SAFEgroup Automation ,"Spring Hill, Brisbane QLD",Electrical/Electronic Engineering (Engineering),Add expected salary to your profile for insights,Full time
https://www.seek.com.au/job/79844292?type=standout&ref=search-standalone,Senior Control Systems Engineer / Automation Engineer,SAFEgroup Automation ,"Gladstone, Gladstone & Central QLD",Electrical/Electronic Engineering (Engineering),Add expected salary to your profile for insights,Full time
https://www.seek.com.au/job/80200333?type=standout&ref=search-standalone,Graduate Mechanical Engineer,JIVARO Recruitment ,"Truganina, Melbourne VIC",Mechanical Engineering (Engineering),"$110,000",Full time
https://www.seek.com.au/job/80242640?type=promoted&ref=search-standalone,Senior Control Systems Engineer,Paradigm Engineers Pty Ltd ,Perth WA,Electrical/Electronic Engineering (Engineering),Competitive salary,Full time
https://www.seek.com.au/job/80179318?type=promoted&ref=search-standalone,Lead Control Systems Engineer,Paradigm Engineers Pty Ltd ,Perth WA,Electrical/Electronic Engineering (Engineering),Competitive salary,Full time
https://www.seek.com.au/job/80141361?type=standout&ref=search-standalone,Automated Warehouse Systems Engineer  ,Dematic Pty Ltd ,Melbourne VIC,Systems Engineering (Engineering),"excellent onboarding, career development, travel",Full time
https://www.seek.com.au/job/79692661?type=standout&ref=search-standalone,Control & Automation Systems Engineer,Komatsu Underground ,"Parkhurst, Rockhampton & Capricorn Coast QLD",Systems Engineering (Engineering),Add expected salary to your profile for insights,Full time
https://www.seek.com.au/job/80051921?type=standout&ref=search-standalone,Industrial Controls Technicians,Turnkey Industrial Engineering ,Sydney NSW,Electricians (Trades & Services),Add expected salary to your profile for insights,Full time
https://www.seek.com.au/job/79692691?type=standout&ref=search-standalone,Control & Automation Systems Engineer,Komatsu Underground ,"Mackay, Mackay & Coalfields QLD",Systems Engineering (Engineering),Add expected salary to your profile for insights,Full time
https://www.seek.com.au/job/79735264?type=standout&ref=search-standalone,Control Systems Engineer,Ampcontrol Limited ,"Cameron Park, Newcastle, Maitland & Hunter NSW",Electrical/Electronic Engineering (Engineering),Add expected salary to your profile for insights,Full time
https://www.seek.com.au/job/80257584?type=standout&ref=search-standalone,Automation & Software Engineer- Narrabri,Whitehaven Coal Limited ,Brisbane QLD,"Mining - Engineering & Maintenance (Mining, Resources & Energy)",Generous salary + bonus,Full time
https://www.seek.com.au/job/80153613?type=standard&ref=search-standalone,Quality Engineer - Automation,Bluefin Resources Pty Limited ,"Broadbeach, Gold Coast QLD",Testing & Quality Assurance (Information & Communication Technology),"AUD 140000 - 160000 per annum, + Super + Bonus!",Full time
https://www.seek.com.au/job/80168703?type=standout&ref=search-standalone,Test Automation Engineers (APS5 & APS6) ,Australian Bureau of Statistics ,Sydney NSW,Testing & Quality Assurance (Information & Communication Technology)Government - Federal (Government & Defence),Salary from $82K; package to 120K inc. super,Full time
https://www.seek.com.au/job/80168711?type=standout&ref=search-standalone,Test Automation Engineers (APS5 & APS6) ,Australian Bureau of Statistics ,Melbourne VIC,Testing & Quality Assurance (Information & Communication Technology)Government - Federal (Government & Defence),Salary from $82K; package to 120K inc. super,Full time
https://www.seek.com.au/job/80168718?type=standout&ref=search-standalone,Test Automation Engineers (APS5 & APS6) ,Australian Bureau of Statistics ,Brisbane QLD,Testing & Quality Assurance (Information & Communication Technology)Government - Federal (Government & Defence),Salary from $82K; package to 120K inc. super,Full time
https://www.seek.com.au/job/79971005?type=standout&ref=search-standalone,Control Systems Engineer,RJE Global Pty Ltd ,Adelaide SA,Electrical/Electronic Engineering (Engineering),Add expected salary to your profile for insights,Full time
https://www.seek.com.au/job/80247725?type=standout&ref=search-standalone,Control System Engineer,NES Fircroft ,Perth WA,Electrical/Electronic Engineering (Engineering),Add expected salary to your profile for insights,Contract/Temp
https://www.seek.com.au/job/80168728?type=standout&ref=search-standalone,Test Automation Engineers (APS5 & APS6) ,Australian Bureau of Statistics ,"Belconnen, Canberra ACT",Testing & Quality Assurance (Information & Communication Technology)Government - Federal (Government & Defence),Salary from $82K; package to 120K inc. super,Full time
https://www.seek.com.au/job/80168706?type=standout&ref=search-standalone,Test Automation Engineers (APS5 & APS6) ,Australian Bureau of Statistics ,"Geelong, South West Coast VIC",Testing & Quality Assurance (Information & Communication Technology)Government - Federal (Government & Defence),Salary from $82K; package to 120K inc. super,Full time
https://www.seek.com.au/job/80168722?type=standout&ref=search-standalone,Test Automation Engineers (APS5 & APS6) ,Australian Bureau of Statistics ,Adelaide SA,Testing & Quality Assurance (Information & Communication Technology)Government - Federal (Government & Defence),Salary from $82K; package to 120K inc. super,Full time
https://www.seek.com.au/job/80102646?type=standard&ref=search-standalone,"Control Systems Engineer - All Levels, All Systems",SPIE Global Services Energy Pty Ltd ,Perth WA,Systems Engineering (Engineering),Add expected salary to your profile for insights,Full time
https://www.seek.com.au/job/79973241?type=standout&ref=search-standalone,Expression of Interest - Electrical Engineers of All Experience Levels,ENCABA GROUP PTY LTD ,Darwin NT,Electrical/Electronic Engineering (Engineering),$47 – $70 per hour,Full time
https://www.seek.com.au/job/79650739?type=standout&ref=search-standalone,Control Systems Engineer,Saunders International Limited ,"Springwood, Brisbane QLD",Systems Engineering (Engineering),Add expected salary to your profile for insights,Full time
https://www.seek.com.au/job/80124666?type=standout&ref=search-standalone,Network Automation Engineer ,Hydrogen Group Pty Ltd ,Sydney NSW,Engineering - Network (Information & Communication Technology),$1k - $1200 p.d.,Contract/Temp
