Name,Company,Position,Location,Salary,Level,Link to jobs
Fitter/Armourer,Ventia,Mechanical Engineering (Engineering),"West End, Northern QLD",None,Full time,https://www.seek.com.au/job/74781486?type=promoted&ref=search-standalone
Reliability Manager,Nexus Executive Services,Maintenance (Engineering),"Townsville, Northern QLD",None,Full time,https://www.seek.com.au/job/74750786?type=promoted&ref=search-standalone
Engineer - Mechanical,Glencore,Mechanical Engineering (Engineering),"Townsville, Northern QLD",None,Full time,https://www.seek.com.au/job/74779287?type=standout&ref=search-standalone
Undergraduate Engineer,THE BMD GROUP,Civil/Structural Engineering (Engineering),"Townsville, Northern QLD",None,Full time,https://www.seek.com.au/job/74554844?type=standout&ref=search-standalone
Project Engineer,THE BMD GROUP,Project Engineering (Engineering),"Townsville, Northern QLD",Base plus Super plus Tot Ute+Phone+Laptop+uplift,Full time,https://www.seek.com.au/job/74690694?type=standout&ref=search-standalone
Lead Rotating Equipment Engineer,INCITEC PIVOT LIMITED,Mechanical Engineering (Engineering),"Townsville, Northern QLD","$180,000 – $190,000 base + allowance and bonus ",Full time,https://www.seek.com.au/job/74517459?type=standout&ref=search-standalone
Marine Asset Coordinator ,Australian Institute of Marine Science,Systems Engineering (Engineering),"Townsville, Northern QLD","$113,275 to $124,181 per annum plus 15.4% super",Full time,https://www.seek.com.au/job/74785624?type=standout&ref=search-standalone
MECHANICAL DRAFTSPERSON / METROLOGY TECHNICIAN,Scan Tech 3D,<br/>,"Townsville, Northern QLD",None,Full time,https://www.seek.com.au/job/74660319?type=standard&ref=search-standalone
MECHANICAL DRAFTSPERSON - CADET,Scan Tech 3D Pty Ltd,Government - Federal (Government & Defence),"Townsville, Northern QLD",None,Full time,https://www.seek.com.au/job/74656906?type=standard&ref=search-standalone
Mechanical Engineering Superintendent,Wilmar Sugar Pty Ltd,Engineering Drafting (Engineering),"Ayr, Northern QLD",None,Full time,https://www.seek.com.au/job/74484342?type=standard&ref=search-standalone
